,_coordinates,_sent,a_head_form,a_head_number,a_head_pos,a_hypernyms,a_non_article_det,a_parent,a_pos_after_head,a_pos_before_head,a_referent,a_words_after_head,a_words_after_np,a_words_before_head,a_words_before_np,Y_PREDICTED,Y_TRUE
1623,data/parsed/22/wsj_2210.mrg|24|30,"Institutional investors and bankers , many of whom spent [ the night ] before in their offices watching Far Eastern markets , were cautiously optimistic after the mild 1.8 % decline in Tokyo stock prices .",night,sg,NN,[u'time_period.n.01'],,VP,[],[],False,[],"['before', 'in']",[],"['whom', u'spend']",ZERO,THE
1653,data/parsed/22/wsj_2210.mrg|28|111,"But even if Wall Street continues to stabilize , analysts here say the latest blow to investor confidence could inhibit a swift recovery for the Frankfurt exchange , which already was showing signs of weakness after [ the DAX ] had slipped from a 1989 high of 1657.61 on Sept. 8 .",DAX,sg,NNP,,,S,[],[],False,[],"[u'have', u'slip']",[],"['weakness', 'after']",ZERO,THE
1688,data/parsed/22/wsj_2210.mrg|32|87,"Yet yesterday 's market cropped Dresdner 's share price by 33 marks to 309 marks a share , leaving little incentive for investors to subscribe to the standing price unless [ the market recovers ] quickly .",recovers,pl,NN,,,PP,[],['NN'],False,[],"['quickly', '.']",['market'],"['price', 'unless']",ZERO,THE
1721,data/parsed/22/wsj_2210.mrg|40|11,Late buying gave [ the Paris Bourse ] a parachute after its free fall early in the day .,Bourse,sg,NNP,[],,VP,[],['NNP'],False,[],['parachute'],['Paris'],"['buying', u'give']",ZERO,THE
1744,data/parsed/22/wsj_2210.mrg|44|17,"Brokers said that as [ the news ] spread that Wall Street was moving up , traders who had called to place sell orders changed their line in mid-conversation , ordering buys instead .",news,sg,NN,[u'information.n.01'],,S,[],[],False,[],"['spread', 'that']",[],"['that', 'as']",ZERO,THE
1757,data/parsed/22/wsj_2210.mrg|46|23,"When Wall Street turned , however , [ the big boys ] entered the market , looking for bargains .",boy,pl,NN,[u'male.n.02'],,S,[],['JJ'],False,[],[u'enter'],['big'],"['however', ',']",ZERO,THE
1779,data/parsed/22/wsj_2211.mrg|4|3,[ The reserve addition ] placed the parent of Morgan Guaranty Trust Co. among a few major U.S. banks that have covered nearly all their medium and long-term portfolios to less-developed countries with reserves .,addition,sg,NN,[u'component.n.03'],,S,[],['NN'],False,[],[u'place'],['reserve'],[],ZERO,THE
1800,data/parsed/22/wsj_2211.mrg|8|31,"Excluding the $ 2 billion provision and allowing for [ the taxes ] Morgan paid , earnings were about 65 cents a share , Mr. Salem said S .",tax,pl,NN,[u'levy.n.01'],,NP,[],[],False,[],"['Morgan', u'pay']",[],"[u'allow', 'for']",ZERO,THE
1881,data/parsed/22/wsj_2211.mrg|20|88,"The latest quarter included a gain of $ 56.1 million , or 59 cents a share , related to the purchase of the remaining 51 % of NCNB Texas National Bank from [ the Federal Deposit Insurance Corp . ]",Corp,sg,NNP,[u'firm.n.01'],,PP,['.'],"['NNP', 'NNP', 'NNP']",True,['.'],[],"['Federal', 'Deposit', 'Insurance']","['Bank', 'from']",ZERO,THE
1882,data/parsed/22/wsj_2211.mrg|21|3,"[ The strong performance , ] however , contrasted with an unexpectedly large increase in the size of NCNB 's problem loans , particularly in the Southeast .",performance,sg,NN,[u'show.n.03'],,S,"[',']",['JJ'],True,"[',']","['however', ',']",['strong'],[],ZERO,THE
1887,data/parsed/22/wsj_2211.mrg|21|64,"The strong performance , however , contrasted with an unexpectedly large increase in the size of NCNB 's problem loans , particularly in [ the Southeast . ]",Southeast,sg,NNP,[u'compass_point.n.01'],,PP,['.'],[],False,['.'],[],[],"['particularly', 'in']",ZERO,THE
1907,data/parsed/22/wsj_2211.mrg|25|4,"[ The deterioration ] in credit quality offset strong loan growth of 17 % in NCNB 's Southeast operations , as well as a 28 % growth in deposits resulting from an aggressive marketing campaign .",deterioration,sg,NN,[u'decay.n.04'],,NP,[],[],False,[],"['in', 'credit']",[],[],ZERO,THE
1916,data/parsed/22/wsj_2211.mrg|26|4,[ The higher rates ] paid on deposits also helped squeeze NCNB 's net interest margin in the Southeast to 3.38 % from 3.80 % a year earlier .,rate,pl,NN,[u'tax.n.01'],,NP,[],['JJR'],False,[],"[u'pay', 'on']",[u'high'],[],ZERO,THE
1920,data/parsed/22/wsj_2211.mrg|26|45,The higher rates paid on deposits also helped squeeze NCNB 's net interest margin in [ the Southeast ] to 3.38 % from 3.80 % a year earlier .,Southeast,sg,NNP,[u'compass_point.n.01'],,PP,[],[],True,[],"['to', '<number>']",[],"['margin', 'in']",ZERO,THE
1933,data/parsed/22/wsj_2211.mrg|29|19,"NCNB Texas National , formed from [ the remnants ] of of the failed First RepublicBank Corp. of Dallas , contributed $ 76.9 million to NCNB 's bottom line in the third quarter .",remnant,pl,NN,[u'remainder.n.01'],,NP,[],[],False,[],"['of', 'of']",[],"[u'form', 'from']",ZERO,THE
1934,data/parsed/22/wsj_2211.mrg|29|31,"NCNB Texas National , formed from the remnants of of [ the failed First RepublicBank Corp. ] of Dallas , contributed $ 76.9 million to NCNB 's bottom line in the third quarter .",Corp.,sg,NNP,,,NP,[],"['VBN', 'NNP', 'NNP']",False,[],"['of', 'Dallas']","[u'fail', 'First', 'RepublicBank']","['of', 'of']",ZERO,THE
2015,data/parsed/22/wsj_2211.mrg|41|3,"[ The earnings ] represent a 0.89 % return on assets for Security Pacific , and an 18.9 % return on equity .",earnings,pl,NN,[u'income.n.01'],,S,[],[],True,[],['represent'],[],[],ZERO,THE
2021,data/parsed/22/wsj_2211.mrg|42|3,[ The loan growth ] offset continuing real-estate loan losses in the depressed Arizona market .,growth,sg,NN,[u'organic_process.n.01'],,S,[],['NN'],False,[],"['offset', u'continue']",['loan'],[],ZERO,THE
2137,data/parsed/22/wsj_2213.mrg|2|77,"In a letter filed with the Securities and Exchange Commission , the group , which holds about 4.5 million Telerate shares , or about 4.7 % of [ the shares ] outstanding , said `` ... at present none of us believes an offer for less than $ 25 per share would be fair and some believe that $ 25 is too low . ''",share,pl,NN,[u'assets.n.01'],,NP,[],[],False,[],"['outstanding', ',']",[],"['%', 'of']",ZERO,THE
2184,data/parsed/22/wsj_2213.mrg|8|64,"Among other issues , the group 's letter said it has `` concerns as to whether Dow Jones 's offer meets [ the applicable requirements ] of procedural fairness . ''",requirement,pl,NN,[u'duty.n.01'],,NP,[],['JJ'],False,[],"['of', 'procedural']",['applicable'],"['offer', u'meet']",ZERO,THE
2217,data/parsed/22/wsj_2214.mrg|3|88,"If a solution is n't reached by then , she said , the U.S. would have the right to suspend some trade concessions to Canada equivalent in value to [ the losses ] suffered by U.S. fish-processing companies in Alaska and the Pacific Northwest .",loss,pl,NN,[u'financial_loss.n.01'],,NP,[],[],False,[],"[u'suffer', 'by']",[],"['value', 'to']",ZERO,THE
2220,data/parsed/22/wsj_2214.mrg|3|117,"If a solution is n't reached by then , she said , the U.S. would have the right to suspend some trade concessions to Canada equivalent in value to the losses suffered by U.S. fish-processing companies in Alaska and [ the Pacific Northwest . ]",Northwest,sg,NNP,[],,NP,['.'],['NNP'],False,['.'],[],['Pacific'],"['Alaska', 'and']",ZERO,THE
2227,data/parsed/22/wsj_2214.mrg|4|66,"However , in Ottawa , Canadian Trade Minister John Crosbie said the dispute-settlement panel accepted the `` legitimacy of Canada 's position on [ the use ] of these landing requirements to conserve and manage these important fisheries . ''",use,sg,NN,[u'activity.n.01'],,NP,[],[],False,[],"['of', 'these']",[],"['position', 'on']",ZERO,THE
2230,data/parsed/22/wsj_2214.mrg|5|10,"Questioned about [ the seeming contradiction ] in the U.S. and Canadian government views of the panel 's report , an aide for Mrs. Hills said the panel had clearly ruled that the Canadian trade restrictions `` are illegal . ''",contradiction,sg,NN,[u'opposition.n.02'],,PP,[],['VBG'],False,[],['in'],[u'seem'],"['Questioned', 'about']",ZERO,THE
2241,data/parsed/22/wsj_2214.mrg|6|33,The U.S. trade representative declined to put a dollar estimate on [ the losses ] resulting from the Canadian export restrictions .,loss,pl,NN,[u'financial_loss.n.01'],,NP,[],[],True,[],"[u'result', 'from']",[],"['estimate', 'on']",ZERO,THE
2242,data/parsed/22/wsj_2214.mrg|6|44,The U.S. trade representative declined to put a dollar estimate on the losses resulting from [ the Canadian export restrictions . ],restriction,pl,NN,[u'rule.n.01'],,PP,['.'],"['JJ', 'NN']",True,['.'],[],"['Canadian', 'export']","[u'result', 'from']",ZERO,THE
2265,data/parsed/22/wsj_2214.mrg|11|26,"Earlier , an international panel set up under [ the rules ] of the General Agreement on Tariffs and Trade in Geneva determined that the original Canadian fish-export restrictions violated GATT rules .",rule,pl,NN,[u'concept.n.01'],,NP,[],[],False,[],['of'],[],"['up', 'under']",ZERO,THE
2266,data/parsed/22/wsj_2214.mrg|11|35,"Earlier , an international panel set up under the rules of [ the General Agreement ] on Tariffs and Trade in Geneva determined that the original Canadian fish-export restrictions violated GATT rules .",Agreement,sg,NNP,[u'statement.n.01'],,NP,[],['NNP'],False,[],"['on', 'Tariffs']",['General'],"[u'rule', 'of']",ZERO,THE
2281,data/parsed/22/wsj_2214.mrg|13|11,She said [ the Canadian restrictions ] must be removed before such contracts are concluded .,restriction,pl,NN,[u'rule.n.01'],,S,[],['JJ'],True,[],"['must', 'be']",['Canadian'],"['She', u'say']",ZERO,THE
2289,data/parsed/22/wsj_2215.mrg|2|59,"To spend a carefree , idle day , When duty calls , to pay no heed , To while [ the precious hours ] away -- Character is what you need .",hour,pl,NN,[u'work_time.n.01'],,ADVP,[],['JJ'],False,[],"['away', '--']",['precious'],"['To', 'while']",ZERO,THE
2303,data/parsed/22/wsj_2216.mrg|1|41,"BancOklahoma Corp. said it completed a restructuring agreement previously agreed to by [ the Federal Deposit Insurance Corp. , ] creditor banks and subordinated debenture holders .",Corp.,sg,NNP,,,NP,"[',']","['NNP', 'NNP', 'NNP']",False,"[',']","['creditor', u'bank']","['Federal', 'Deposit', 'Insurance']","['to', 'by']",ZERO,THE
2323,data/parsed/22/wsj_2216.mrg|4|13,"In exchange for [ the other $ 40 million , ] the FDIC will receive additional warrants entitling it to buy 60 % of BancOklahoma 's common stock outstanding , up from the 55 % option the FDIC received under terms of the 1986 capital infusion .",$,,QP,,,PP,[],['JJ'],True,[],['FDIC'],['other'],"['exchange', 'for']",ZERO,THE
2333,data/parsed/22/wsj_2216.mrg|4|119,"In exchange for the other $ 40 million , the FDIC will receive additional warrants entitling it to buy 60 % of BancOklahoma 's common stock outstanding , up from the 55 % option the FDIC received under terms of [ the 1986 capital infusion . ]",infusion,sg,NN,[u'solution.n.01'],,PP,['.'],"['CD', 'NN']",False,['.'],[],"['<number>', 'capital']","[u'term', 'of']",ZERO,THE
2335,data/parsed/22/wsj_2216.mrg|5|15,"In exchange for [ the $ 76 million ] they are owed , creditor banks will receive 3.9 million shares of BancOklahoma common stock and the proceeds from the future sales of four subsidiary banks to private buyers , the bank holding company said S .",$,,QP,,,NP,[],[],True,[],"['they', u'be']",[],"['exchange', 'for']",ZERO,THE
2340,data/parsed/22/wsj_2216.mrg|5|72,"In exchange for the $ 76 million they are owed , creditor banks will receive 3.9 million shares of BancOklahoma common stock and [ the proceeds ] from the future sales of four subsidiary banks to private buyers , the bank holding company said S .",proceeds,pl,NN,[u'income.n.01'],,NP,[],[],False,[],['from'],[],"['stock', 'and']",ZERO,THE
2341,data/parsed/22/wsj_2216.mrg|5|81,"In exchange for the $ 76 million they are owed , creditor banks will receive 3.9 million shares of BancOklahoma common stock and the proceeds from [ the future sales ] of four subsidiary banks to private buyers , the bank holding company said S .",sale,pl,NN,[u'income.n.01'],,NP,[],['JJ'],False,[],"['of', 'four']",['future'],"['proceeds', 'from']",ZERO,THE
2405,data/parsed/22/wsj_2218.mrg|3|55,Each warrant allows the holder to buy one BSN share for $ 10.75 a share at any time over [ the next seven years . ],year,pl,NN,[u'time_of_life.n.01'],,PP,['.'],"['JJ', 'CD']",False,['.'],[],"['next', 'seven']","['time', 'over']",ZERO,THE
2416,data/parsed/22/wsj_2218.mrg|6|22,The company said it can redeem [ the warrants ] at its option for $ 1 each .,warrant,pl,NN,[u'writ.n.01'],,VP,[],[],True,[],"['at', 'its']",[],"['can', 'redeem']",ZERO,THE
2438,data/parsed/22/wsj_2218.mrg|9|109,"If all the bondholders and holders of one million common shares accept the offer , BSN will increase its debt by $ 9 million , but it also will recognize a $ 2 million gain from retiring [ the old debt , ] said S Michael J. Blumenfeld , president .",debt,sg,NN,[u'indebtedness.n.01'],,VP,"[',']",['JJ'],True,"[',']","[u'say', 'S']",['old'],"['from', u'retire']",ZERO,THE
2578,data/parsed/22/wsj_2220.mrg|1|52,"Seafirst Corp. said it signed an agreement with builder Martin Selig to purchase its headquarters building , [ the Columbia Seafirst Center , ] for $ 354 million .",Center,sg,NNP,[u'area.n.01'],,NP,"[',']","['NNP', 'NNP']",False,"[',']","['for', '$']","['Columbia', 'Seafirst']","['building', ',']",ZERO,THE
2585,data/parsed/22/wsj_2220.mrg|2|51,"Purchase of the 76-story structure is subject to execution of a definitive agreement , approval by [ the boards ] of Seafirst and its parent company BankAmerica Corp. , and approval by regulators .",board,pl,NN,[u'theater_stage.n.01'],,NP,[],[],False,[],"['of', 'Seafirst']",[],"['approval', 'by']",ZERO,THE
2590,data/parsed/22/wsj_2221.mrg|1|3,[ The market upheaval ] apparently has n't triggered any cash crunch -- yet .,upheaval,sg,NN,[u'disorder.n.03'],,S,[],['NN'],False,[],"['apparently', u'have']",['market'],[],ZERO,THE
2594,data/parsed/22/wsj_2221.mrg|2|32,"Individual investors , investment firms and arbitragers who speculate in [ the stocks ] of takeover candidates can suffer liquidity and payment problems when stocks dive ; those investors often borrow heavily to buy their holdings and use the stocks as collateral for loans .",stock,pl,NN,[u'framework.n.03'],,NP,[],[],False,[],"['of', 'takeover']",[],"['speculate', 'in']",ZERO,THE
2600,data/parsed/22/wsj_2221.mrg|2|104,"Individual investors , investment firms and arbitragers who speculate in the stocks of takeover candidates can suffer liquidity and payment problems when stocks dive ; those investors often borrow heavily to buy their holdings and use [ the stocks ] as collateral for loans .",stock,pl,NN,[u'framework.n.03'],,VP,[],[],False,[],"['as', 'collateral']",[],"['and', 'use']",ZERO,THE
2612,data/parsed/22/wsj_2221.mrg|4|24,"`` We 're seeing nothing out of [ the ordinary , '' ] said one official at a Top 10 bank .",ordinary,,JJ,[u'judge.n.01'],,PP,"[',', ""''""]",[],False,"[',', ""''""]","[u'say', 'one']",[],"['out', 'of']",ZERO,THE
2686,data/parsed/22/wsj_2222.mrg|11|58,"The futures exchanges followed their own pre-set circuit breakers and shut down at about 3 p.m. for 30 minutes , after [ the Standard & Poor 's ] 500 stock index had fallen 12 points , or about 100 points on the Dow Jones index .",Poor,sg,NNP,[u'people.n.01'],,NPB,['POS'],"['NNP', 'CC']",False,"[""'s""]","['<number>', 'stock']","['Standard', '&']","[',', 'after']",ZERO,THE
2706,data/parsed/22/wsj_2222.mrg|17|25,"At 3:30 , after intense telephone negotiations between [ the trading markets and Washington , ] the futures exchanges reopened .",Washington,sg,NNP,[],,PP,"[',']","['NN', 'NNS', 'CC']",False,"[',']",[u'future'],"['trading', u'market', 'and']","[u'negotiation', 'between']",ZERO,THE
2707,data/parsed/22/wsj_2222.mrg|17|38,"At 3:30 , after intense telephone negotiations between the trading markets and Washington , [ the futures exchanges ] reopened .",exchange,pl,NN,[u'chemical_phenomenon.n.01'],,S,[],['NNS'],False,[],"[u'reopen', '.']",[u'future'],"['Washington', ',']",ZERO,THE
2721,data/parsed/22/wsj_2222.mrg|20|40,"It is time to recognize that the New York Stock Exchange , [ the futures markets ] and the options markets , though physically separate , have actually become so closely intertwined as to constitute one market effectively .",market,pl,NN,[u'activity.n.01'],,NP,[],['NNS'],True,[],['and'],[u'future'],"['Exchange', ',']",ZERO,THE
2745,data/parsed/22/wsj_2222.mrg|25|18,It 's time for [ the exchanges ] and the Securities and Exchange Commission to agree on joint conditions for halting trading or staying open .,exchange,pl,NN,[u'chemical_phenomenon.n.01'],,NP,[],[],False,[],['and'],[],"['time', 'for']",ZERO,THE
2752,data/parsed/22/wsj_2222.mrg|26|39,Let 's not have one market shut down for 30 minutes when [ the Dow ] declines 100 points and another shut down for an hour after a 250-point decline .,Dow,sg,NNP,,,S,[],[],False,[],"[u'decline', '<number>']",[],"[u'minute', 'when']",ZERO,THE
2764,data/parsed/22/wsj_2222.mrg|28|3,"[ The new circuit breakers , ] if they are to be applied at all , will require that futures and options trading continue as long as the New York Stock Exchange remains open .",breaker,pl,NN,[u'wave.n.01'],,S,"[',']","['JJ', 'NN']",True,"[',']","['if', 'they']","['new', 'circuit']",[],ZERO,THE
2770,data/parsed/22/wsj_2222.mrg|29|29,The rules should be established by agreement of [ the officials ] of all affected exchanges acting under the oversight and with the approval of the government regulatory agencies .,official,pl,NN,[u'skilled_worker.n.01'],,NP,[],[],True,[],"['of', 'all']",[],"['agreement', 'of']",ZERO,THE
2772,data/parsed/22/wsj_2222.mrg|29|50,The rules should be established by agreement of the officials of all affected exchanges acting under [ the oversight ] and with the approval of the government regulatory agencies .,oversight,sg,NN,[u'omission.n.04'],,PP,[],[],False,[],"['and', 'with']",[],"[u'act', 'under']",ZERO,THE
2773,data/parsed/22/wsj_2222.mrg|29|61,The rules should be established by agreement of the officials of all affected exchanges acting under the oversight and with [ the approval ] of the government regulatory agencies .,approval,sg,NN,[u'support.n.02'],,NP,[],[],False,[],['of'],[],"['and', 'with']",ZERO,THE
2774,data/parsed/22/wsj_2222.mrg|29|69,The rules should be established by agreement of the officials of all affected exchanges acting under the oversight and with the approval of [ the government regulatory agencies . ],agency,pl,NN,[u'administrative_unit.n.01'],,PP,['.'],"['NN', 'JJ']",False,['.'],[],"['government', 'regulatory']","['approval', 'of']",ZERO,THE
2781,data/parsed/22/wsj_2222.mrg|30|107,"Should the SEC and the Commodities Futures Trading Commission -LRB- which , with the SEC , regulates the Chicago stock-index markets -RRB- be unable to agree , the issue may have to be resolved by decision of [ the Treasury secretary . ]",secretary,sg,NN,[u'head.n.04'],,PP,['.'],['NNP'],False,['.'],[],['Treasury'],"['decision', 'of']",ZERO,THE
2789,data/parsed/22/wsj_2222.mrg|32|21,The New York Stock Exchange now has [ the capacity ] to handle a volume of nearly a billion shares a day .,capacity,sg,NN,[u'capability.n.01'],,NP,[],[],False,[],"['to', 'handle']",[],"['now', u'have']",ZERO,THE
2798,data/parsed/22/wsj_2222.mrg|33|76,"Telephone service has been improved for customers trying to reach their brokers , and specialists -- who I believe should stay , despite [ the urgings ] of some post-crash critics -- have larger capital positions .",urging,pl,NN,[u'encouragement.n.01'],,NP,[],[],False,[],"['of', 'some']",[],"[',', 'despite']",ZERO,THE
2833,data/parsed/22/wsj_2223.mrg|2|77,"The `` social dimension '' -- worker concerns -- of the European Community 's plan to open its internal borders in 1992 could set the effort `` off [ the rails '' ] if not done reasonably , says S General Electric senior vice president Frank Doyle .",rail,pl,NN,[u'bar.n.03'],,PP,"[""''""]",[],False,"[""''""]","['if', 'not']",[],"['``', 'off']",ZERO,THE
2871,data/parsed/22/wsj_2223.mrg|8|40,"So said a federal judge , in a case involving two players for [ the minor league Bluefield , ] Va. , Orioles , a Baltimore farm team .",Bluefield,sg,NNP,,,NP,"[',']","['JJ', 'NN']",False,"[',']","['Va.', ',']","['minor', 'league']","[u'player', 'for']",ZERO,THE
2875,data/parsed/22/wsj_2223.mrg|9|3,"[ The players ] were heckled by a patron during a July 4 , 1988 , game with the Martinsville Phillies .",player,pl,NN,[u'contestant.n.01'],,S,[],[],True,[],"[u'be', u'heckle']",[],[],ZERO,THE
2879,data/parsed/22/wsj_2223.mrg|9|46,"The players were heckled by a patron during a July 4 , 1988 , game with [ the Martinsville Phillies . ]",Phillies,sg,NNP,,,PP,['.'],['NNP'],False,['.'],[],['Martinsville'],"['game', 'with']",ZERO,THE
2890,data/parsed/22/wsj_2223.mrg|11|45,"After the game -LRB- `` Bluefield lost , 9-8 , stranding three runners in ... [ the ninth , '' ] he noted -RRB- , trouble began .",ninth,,JJ,[u'rank.n.02'],,PP,"[',', ""''""]",[],False,"[',', ""''""]","['he', u'note']",[],"['in', '...']",ZERO,THE
2894,data/parsed/22/wsj_2223.mrg|12|22,"More taunting in the parking lot , [ the players ] said S , led to a fight .",player,pl,NN,[u'contestant.n.01'],,S,[],[],True,[],"[u'say', 'S']",[],"['lot', ',']",ZERO,THE
2907,data/parsed/22/wsj_2223.mrg|14|42,"The judge dismissed the fan 's suit against the team , however , ruling [ the Orioles ] innocent of negligent hiring , and not responsible for a fight that was outside the players ' employment .",Orioles,sg,NNP,[u'oscine.n.01'],,S,[],[],False,[],"['innocent', 'of']",[],"[',', u'rule']",ZERO,THE
2970,data/parsed/22/wsj_2223.mrg|26|10,"SPRUCING UP [ THE DIGS : ] About 200 employees of the Maryland Department of Economic and Employment Development for four months painted walls , polished and carpeted floors , bought plants , cleaned windows and blinds , and hung pictures at the agency 's Baltimore office .",DIGS,pl,NN,[u'excavation.n.03'],,PP,[':'],[],False,[':'],"['About', '<number>']",[],"['SPRUCING', 'UP']",ZERO,THE
2982,data/parsed/22/wsj_2223.mrg|27|4,"[ The 3,000 hours ] of work will save the state $ 55,000 .",hour,pl,NN,[u'work_time.n.01'],,NP,[],['CD'],False,[],"['of', 'work']","['3,000']",[],ZERO,THE
3024,data/parsed/22/wsj_2223.mrg|33|27,But they search for ways to limit [ the damage . ],damage,sg,NN,[u'change.n.01'],,VP,['.'],[],False,['.'],[],[],"['to', 'limit']",ZERO,THE
3055,data/parsed/22/wsj_2223.mrg|39|36,"Federal Express , Dow Chemical , Ford and National City Corp. will buy [ the home ] or let the worker sell to an outside firm , but usually wo n't cover a loss .",home,sg,NN,[u'residence.n.01'],,VP,[],[],False,[],"['or', 'let']",[],"['will', 'buy']",ZERO,THE
3067,data/parsed/22/wsj_2223.mrg|41|3,"[ THE CHECKOFF : ] The National Academy of Engineering gives two inventors of the semiconductor microchip a $ 350,000 achievement award ... .",CHECKOFF,sg,NNP,,,NP,[':'],[],False,[':'],['National'],[],[],ZERO,THE
3071,data/parsed/22/wsj_2223.mrg|41|37,"THE CHECKOFF : The National Academy of Engineering gives two inventors of [ the semiconductor microchip ] a $ 350,000 achievement award ... .",microchip,sg,NN,[u'semiconductor_device.n.01'],,PP,[],['NN'],False,[],['$'],['semiconductor'],"[u'inventor', 'of']",ZERO,THE
3078,data/parsed/22/wsj_2224.mrg|1|15,"Yesterday was , in [ the words ] of New York Stock Exchange Chairman John J. Phelan Jr. , just your `` reasonably normal , 400 million-share , up 88-points day . ''",word,pl,NN,[u'speech.n.02'],,NP,[],[],False,[],"['of', 'New']",[],"[',', 'in']",ZERO,THE
3102,data/parsed/22/wsj_2224.mrg|6|12,"Prices for [ the 416.3 million shares ] that changed hands during the session were carried on the exchange 's trading tape with barely a delay , officials said S .",share,pl,NN,[u'assets.n.01'],,NP,[],"['CD', 'CD']",False,[],"['that', u'change']","['<number>', 'million']","['Prices', 'for']",ZERO,THE
3112,data/parsed/22/wsj_2224.mrg|7|20,"While reaching blockbuster proportions yesterday , [ the volume ] was still well within the 600 million-share capacity that the exchange has said it can handle daily since beefing up its computers after the October 1987 crash .",volume,sg,NN,[u'measure.n.02'],,S,[],[],False,[],"[u'be', 'still']",[],"['yesterday', ',']",ZERO,THE
3118,data/parsed/22/wsj_2224.mrg|8|4,[ The so-called circuit breakers ] devised by the Big Board and the Chicago Mercantile Exchange to quell free falls in stock and futures prices were n't triggered yesterday because the markets were higher for most of the day .,breaker,pl,NN,[u'wave.n.01'],,NP,[],"['JJ', 'NN']",False,[],"[u'devise', 'by']","['so-called', 'circuit']",[],ZERO,THE
3130,data/parsed/22/wsj_2224.mrg|9|27,"Despite traders ' complaints , Mr. Phelan said [ the links ] with the Chicago futures market worked as planned in Friday 's rout to provide a cooling-off period .",link,pl,NN,[u'golf_course.n.01'],,NP,[],[],False,[],['with'],[],"['Phelan', u'say']",ZERO,THE
3136,data/parsed/22/wsj_2224.mrg|10|13,"Of greater help , [ the Big Board chairman ] said SINV , was the `` natural circuit breaker '' of the weekend , that provided a breathing period that `` brought rationality back to the market .",chairman,sg,NN,[u'presiding_officer.n.01'],,S,[],"['NNP', 'NNP']",False,[],"[u'say', 'SINV']","['Big', 'Board']","['help', ',']",ZERO,THE
3148,data/parsed/22/wsj_2225.mrg|3|4,"[ The Crest Report , ] which tracks consumer purchases , says customer traffic at chicken restaurants fell 10 % in the second quarter , while the overall fast-food customer count was down 2 % .",Report,sg,NNP,[u'document.n.01'],,NP,"[',']",['NNP'],False,"[',']","['which', u'track']",['Crest'],[],ZERO,THE
3154,data/parsed/22/wsj_2225.mrg|3|71,"The Crest Report , which tracks consumer purchases , says customer traffic at chicken restaurants fell 10 % in the second quarter , while [ the overall fast-food customer count ] was down 2 % .",count,sg,NN,[u'number.n.02'],,S,[],"['JJ', 'NN', 'NN']",False,[],"[u'be', 'down']","['overall', 'fast-food', 'customer']","[',', 'while']",ZERO,THE
3208,data/parsed/22/wsj_2225.mrg|12|34,"A Kentucky Fried Chicken spokesman , however , disputed the notion that [ the delivery service ] experienced problems in some markets where testing has been discontinued .",service,sg,NN,[u'work.n.01'],,S,[],['NN'],False,[],"[u'experience', u'problem']",['delivery'],"['notion', 'that']",ZERO,THE
3247,data/parsed/22/wsj_2225.mrg|23|3,"[ The messages ] resemble the Business Traveler , a daily dose of travel tips developed by Mr. Bear and sponsored by travel agencies in several major cities .",message,pl,NN,[u'communication.n.02'],,S,[],[],False,[],['resemble'],[],[],ZERO,THE
3248,data/parsed/22/wsj_2225.mrg|23|12,"The messages resemble [ the Business Traveler , ] a daily dose of travel tips developed by Mr. Bear and sponsored by travel agencies in several major cities .",Traveler,sg,NNP,[u'person.n.01'],,NP,"[',']",['NNP'],False,"[',']",['daily'],['Business'],"[u'message', 'resemble']",ZERO,THE
3270,data/parsed/22/wsj_2225.mrg|27|23,"Hospitals have signed up to use [ the messages ] to promote fundraisers , and Equitable Gas Co. is considering the format to offer energy tips to consumers .",message,pl,NN,[u'communication.n.02'],,VP,[],[],True,[],"['to', 'promote']",[],"['to', 'use']",ZERO,THE
3273,data/parsed/22/wsj_2225.mrg|27|57,"Hospitals have signed up to use the messages to promote fundraisers , and Equitable Gas Co. is considering [ the format ] to offer energy tips to consumers .",format,sg,NN,[u'information.n.01'],,NP,[],[],False,[],"['to', 'offer']",[],"[u'be', u'consider']",ZERO,THE
3303,data/parsed/22/wsj_2225.mrg|34|3,[ The choices ] will be based on research by the San Diego Environmental Health Coalition and will include products like Murphy 's Oil Soap and other noncorrosive cleaners .,choice,pl,NN,[u'decision_making.n.01'],,S,[],[],False,[],"['will', 'be']",[],[],ZERO,THE
3305,data/parsed/22/wsj_2225.mrg|34|27,The choices will be based on research by [ the San Diego Environmental Health Coalition ] and will include products like Murphy 's Oil Soap and other noncorrosive cleaners .,Coalition,sg,NNP,[u'organization.n.01'],,PP,[],"['NNP', 'NNP', 'NNP', 'NNP']",False,[],"['and', 'will']","['San', 'Diego', 'Environmental', 'Health']","['research', 'by']",ZERO,THE
3311,data/parsed/22/wsj_2225.mrg|35|20,But the chain is quickly realizing [ the pitfalls ] of such endorsements .,pitfall,pl,NN,[u'difficulty.n.02'],,NP,[],[],False,[],"['of', 'such']",[],"['quickly', u'realize']",ZERO,THE
3384,data/parsed/22/wsj_2226.mrg|1|38,"Health and Human Services Secretary Louis Sullivan has chosen Antonia Novello to be [ the next surgeon general , ] Bush administration officials said S .",surgeon,sg,NN,[u'doctor.n.01'],,VP,"['JJ', ',']",['JJ'],False,"['general', ',']","['Bush', 'administration']",['next'],"['to', 'be']",ZERO,THE
