|Y_article|_coordinates|_sent|a_head_form|a_head_number|a_head_pos|a_hypernyms|a_non_article_det|a_parent|a_pos_after_head|a_pos_before_head|a_referent|a_words_after_head|a_words_after_np|a_words_before_head|a_words_before_np|b_head_pos_simple|b_head_proper|b_is_postmodified|b_non_article_det_extended|b_postmodification_length|b_postmodification_pp_of|b_postmodification_type|b_postmodification_type_specific|b_predicate_form|b_referent|b_relative_position|Y_PREDICTED|Y_TRUE
2238|THE|"data/parsed/22/wsj_2214.mrg|5|88"|Questioned about the seeming contradiction in the U.S. and Canadian government views of the panel 's report , an aide for Mrs. Hills said the panel had clearly ruled that [ the Canadian trade restrictions `` ] are illegal . ''|restriction|pl|NN|[u'rule.n.01']||S|['``']|['JJ', 'NN']|True|['``']|[u'be', 'illegal']|['Canadian', 'trade']|[u'rule', 'that']|NN|False|False|False|0|False|||are|True|0.857142857143|ZERO|THE
2241|THE|"data/parsed/22/wsj_2214.mrg|6|33"|The U.S. trade representative declined to put a dollar estimate on [ the losses ] resulting from the Canadian export restrictions .|loss|pl|NN|[u'financial_loss.n.01']||NP|[]|[]|True|[]|[u'result', 'from']|[]|['estimate', 'on']|NN|False|True|False|7|False|VP|resulting|to|True|0.578947368421|ZERO|THE
2242|THE|"data/parsed/22/wsj_2214.mrg|6|44"|The U.S. trade representative declined to put a dollar estimate on the losses resulting from [ the Canadian export restrictions . ]|restriction|pl|NN|[u'rule.n.01']||PP|['.']|['JJ', 'NN']|True|['.']|[]|['Canadian', 'export']|[u'result', 'from']|NN|False|False|False|0|False|||to|True|0.9375|ZERO|THE
2266|THE|"data/parsed/22/wsj_2214.mrg|11|35"|Earlier , an international panel set up under the rules of [ the General Agreement ] on Tariffs and Trade in Geneva determined that the original Canadian fish-export restrictions violated GATT rules .|Agreement|sg|NNP|[u'statement.n.01']||NP|[]|['NNP']|False|[]|['on', 'Tariffs']|['General']|[u'rule', 'of']|NN|True|True|False|4|False|PP|on|determined||0.379310344828|ZERO|THE
2281|THE|"data/parsed/22/wsj_2214.mrg|13|11"|She said [ the Canadian restrictions ] must be removed before such contracts are concluded .|restriction|pl|NN|[u'rule.n.01']||S|[]|['JJ']|True|[]|['must', 'be']|['Canadian']|['She', u'say']|NN|False|False|False|0|False|||must|True|0.166666666667|ZERO|THE
2289|THE|"data/parsed/22/wsj_2215.mrg|2|59"|To spend a carefree , idle day , When duty calls , to pay no heed , To while [ the precious hours ] away -- Character is what you need .|hour|pl|NN|[u'work_time.n.01']||ADVP|[]|['JJ']|False|[]|['away', '--']|['precious']|['To', 'while']|NN|False|False|False|0|False|||is|False|0.678571428571|ZERO|THE
2303|THE|"data/parsed/22/wsj_2216.mrg|1|41"|BancOklahoma Corp. said it completed a restructuring agreement previously agreed to by [ the Federal Deposit Insurance Corp. , ] creditor banks and subordinated debenture holders .|Corp.|sg|NNP|||NP|[',']|['NNP', 'NNP', 'NNP']|False|[',']|['creditor', u'bank']|['Federal', 'Deposit', 'Insurance']|['to', 'by']|NN|True|True|False|7|False|NP|creditor|completed||0.6|ZERO|THE
2323|THE|"data/parsed/22/wsj_2216.mrg|4|13"|In exchange for [ the other $ 40 million , ] the FDIC will receive additional warrants entitling it to buy 60 % of BancOklahoma 's common stock outstanding , up from the 55 % option the FDIC received under terms of the 1986 capital infusion .|$||QP|||PP|[]|['JJ']|True|[]|['FDIC']|['other']|['exchange', 'for']|QP|False|False|False|0|False|||will||0.075|ZERO|THE
2340|THE|"data/parsed/22/wsj_2216.mrg|5|72"|In exchange for the $ 76 million they are owed , creditor banks will receive 3.9 million shares of BancOklahoma common stock and [ the proceeds ] from the future sales of four subsidiary banks to private buyers , the bank holding company said S .|proceeds|pl|NN|[u'income.n.01']||NP|[]|[]|False|[]|['from']|[]|['stock', 'and']|NN|False|True|False|8|False|PP|from|will|False|0.53488372093|ZERO|THE
2341|THE|"data/parsed/22/wsj_2216.mrg|5|81"|In exchange for the $ 76 million they are owed , creditor banks will receive 3.9 million shares of BancOklahoma common stock and the proceeds from [ the future sales ] of four subsidiary banks to private buyers , the bank holding company said S .|sale|pl|NN|[u'income.n.01']||NP|[]|['JJ']|False|[]|['of', 'four']|['future']|['proceeds', 'from']|NN|False|True|False|4|True|PP|of|will|False|0.619047619048|ZERO|THE
2405|THE|"data/parsed/22/wsj_2218.mrg|3|55"|Each warrant allows the holder to buy one BSN share for $ 10.75 a share at any time over [ the next seven years . ]|year|pl|NN|[u'time_of_life.n.01']||PP|['.']|['JJ', 'CD']|False|['.']|[]|['next', 'seven']|['time', 'over']|NN|False|False|False|0|False|||to|False|0.95|ZERO|THE
2416|THE|"data/parsed/22/wsj_2218.mrg|6|22"|The company said it can redeem [ the warrants ] at its option for $ 1 each .|warrant|pl|NN|[u'writ.n.01']||VP|[]|[]|True|[]|['at', 'its']|[]|['can', 'redeem']|NN|False|False|False|0|False|||can|True|0.4|ZERO|THE
2438|THE|"data/parsed/22/wsj_2218.mrg|9|109"|If all the bondholders and holders of one million common shares accept the offer , BSN will increase its debt by $ 9 million , but it also will recognize a $ 2 million gain from retiring [ the old debt , ] said S Michael J. Blumenfeld , president .|debt|sg|NN|[u'indebtedness.n.01']||VP|[',']|['JJ']|True|[',']|[u'say', 'S']|['old']|['from', u'retire']|NN|False|False|False|0|False|||retiring|True|0.804347826087|ZERO|THE
2578|THE|"data/parsed/22/wsj_2220.mrg|1|52"|Seafirst Corp. said it signed an agreement with builder Martin Selig to purchase its headquarters building , [ the Columbia Seafirst Center , ] for $ 354 million .|Center|sg|NNP|[u'area.n.01']||NP|[',']|['NNP', 'NNP']|False|[',']|['for', '$']|['Columbia', 'Seafirst']|['building', ',']|NN|True|False|False|0|False|||to||0.739130434783|ZERO|THE
2590|THE|"data/parsed/22/wsj_2221.mrg|1|3"|[ The market upheaval ] apparently has n't triggered any cash crunch -- yet .|upheaval|sg|NN|[u'disorder.n.03']||S|[]|['NN']|False|[]|['apparently', u'have']|['market']|[]|NN|False|False|False|0|False|||has|False|0.0|ZERO|THE
2594|THE|"data/parsed/22/wsj_2221.mrg|2|32"|Individual investors , investment firms and arbitragers who speculate in [ the stocks ] of takeover candidates can suffer liquidity and payment problems when stocks dive ; those investors often borrow heavily to buy their holdings and use the stocks as collateral for loans .|stock|pl|NN|[u'framework.n.03']||NP|[]|[]|False|[]|['of', 'takeover']|[]|['speculate', 'in']|NN|False|True|False|3|True|PP|of|speculate|False|0.238095238095|ZERO|THE
2600|THE|"data/parsed/22/wsj_2221.mrg|2|104"|Individual investors , investment firms and arbitragers who speculate in the stocks of takeover candidates can suffer liquidity and payment problems when stocks dive ; those investors often borrow heavily to buy their holdings and use [ the stocks ] as collateral for loans .|stock|pl|NN|[u'framework.n.03']||VP|[]|[]|False|[]|['as', 'collateral']|[]|['and', 'use']|NN|False|False|False|0|False|||to|True|0.857142857143|ZERO|THE
2612|THE|"data/parsed/22/wsj_2221.mrg|4|24"|`` We 're seeing nothing out of [ the ordinary , '' ] said one official at a Top 10 bank .|ordinary||JJ|[u'judge.n.01']||PP|"[',', ""''""]"|[]|False|"[',', ""''""]"|[u'say', 'one']|[]|['out', 'of']|JJ|False|False|False|0|False|||'re||0.411764705882|ZERO|THE
2686|THE|"data/parsed/22/wsj_2222.mrg|11|58"|The futures exchanges followed their own pre-set circuit breakers and shut down at about 3 p.m. for 30 minutes , after [ the Standard & Poor 's ] 500 stock index had fallen 12 points , or about 100 points on the Dow Jones index .|Poor|sg|NNP|[u'people.n.01']||NPB|['POS']|['NNP', 'CC']|False|"[""'s""]"|['<number>', 'stock']|['Standard', '&']|[',', 'after']|NN|True|False|False|0|False|||had||0.525|ZERO|THE
2706|THE|"data/parsed/22/wsj_2222.mrg|17|25"|At 3:30 , after intense telephone negotiations between [ the trading markets and Washington , ] the futures exchanges reopened .|Washington|sg|NNP|[]||PP|[',']|['NN', 'NNS', 'CC']|False|[',']|[u'future']|['trading', u'market', 'and']|[u'negotiation', 'between']|NN|True|False|False|0|False|||reopened||0.571428571429|ZERO|THE
2707|THE|"data/parsed/22/wsj_2222.mrg|17|38"|At 3:30 , after intense telephone negotiations between the trading markets and Washington , [ the futures exchanges ] reopened .|exchange|pl|NN|[u'chemical_phenomenon.n.01']||S|[]|['NNS']|False|[]|[u'reopen', '.']|[u'future']|['Washington', ',']|NN|False|False|False|0|False|||reopened|False|0.823529411765|ZERO|THE
2745|THE|"data/parsed/22/wsj_2222.mrg|25|18"|It 's time for [ the exchanges ] and the Securities and Exchange Commission to agree on joint conditions for halting trading or staying open .|exchange|pl|NN|[u'chemical_phenomenon.n.01']||NP|[]|[]|False|[]|['and']|[]|['time', 'for']|NN|False|True|False|1|False|CC|and|to|False|0.173913043478|ZERO|THE
2752|THE|"data/parsed/22/wsj_2222.mrg|26|39"|Let 's not have one market shut down for 30 minutes when [ the Dow ] declines 100 points and another shut down for an hour after a 250-point decline .|Dow|sg|NNP|||S|[]|[]|False|[]|[u'decline', '<number>']|[]|[u'minute', 'when']|NN|True|False|False|0|False|||declines||0.428571428571|ZERO|THE
2764|THE|"data/parsed/22/wsj_2222.mrg|28|3"|[ The new circuit breakers , ] if they are to be applied at all , will require that futures and options trading continue as long as the New York Stock Exchange remains open .|breaker|pl|NN|[u'wave.n.01']||S|[',']|['JJ', 'NN']|True|[',']|['if', 'they']|['new', 'circuit']|[]|NN|False|False|False|0|False|||will|True|0.0|ZERO|THE
2768|THE|"data/parsed/22/wsj_2222.mrg|29|3"|[ The rules ] should be established by agreement of the officials of all affected exchanges acting under the oversight and with the approval of the government regulatory agencies .|rule|pl|NN|[u'concept.n.01']||S|[]|[]|True|[]|['should', 'be']|[]|[]|NN|False|False|False|0|False|||should|True|0.0|ZERO|THE
2770|THE|"data/parsed/22/wsj_2222.mrg|29|29"|The rules should be established by agreement of [ the officials ] of all affected exchanges acting under the oversight and with the approval of the government regulatory agencies .|official|pl|NN|[u'skilled_worker.n.01']||NP|[]|[]|True|[]|['of', 'all']|[]|['agreement', 'of']|NN|False|True|False|4|True|PP|of|should|True|0.296296296296|ZERO|THE
2772|THE|"data/parsed/22/wsj_2222.mrg|29|50"|The rules should be established by agreement of the officials of all affected exchanges acting under [ the oversight ] and with the approval of the government regulatory agencies .|oversight|sg|NN|[u'omission.n.04']||PP|[]|[]|False|[]|['and', 'with']|[]|[u'act', 'under']|NN|False|False|False|0|False|||should|False|0.592592592593|ZERO|THE
2773|THE|"data/parsed/22/wsj_2222.mrg|29|61"|The rules should be established by agreement of the officials of all affected exchanges acting under the oversight and with [ the approval ] of the government regulatory agencies .|approval|sg|NN|[u'support.n.02']||NP|[]|[]|False|[]|['of']|[]|['and', 'with']|NN|False|True|False|6|True|PP|of|should|False|0.740740740741|ZERO|THE
2774|THE|"data/parsed/22/wsj_2222.mrg|29|69"|The rules should be established by agreement of the officials of all affected exchanges acting under the oversight and with the approval of [ the government regulatory agencies . ]|agency|pl|NN|[u'administrative_unit.n.01']||PP|['.']|['NN', 'JJ']|False|['.']|[]|['government', 'regulatory']|['approval', 'of']|NN|False|False|False|0|False|||should|False|0.958333333333|ZERO|THE
2781|THE|"data/parsed/22/wsj_2222.mrg|30|107"|Should the SEC and the Commodities Futures Trading Commission -LRB- which , with the SEC , regulates the Chicago stock-index markets -RRB- be unable to agree , the issue may have to be resolved by decision of [ the Treasury secretary . ]|secretary|sg|NN|[u'head.n.04']||PP|['.']|['NNP']|False|['.']|[]|['Treasury']|['decision', 'of']|NN|False|False|False|0|False|||to|False|0.973684210526|ZERO|THE
2789|THE|"data/parsed/22/wsj_2222.mrg|32|21"|The New York Stock Exchange now has [ the capacity ] to handle a volume of nearly a billion shares a day .|capacity|sg|NN|[u'capability.n.01']||NP|[]|[]|False|[]|['to', 'handle']|[]|['now', u'have']|NN|False|True|False|12|False|S|to|has|False|0.35|ZERO|THE
2798|THE|"data/parsed/22/wsj_2222.mrg|33|76"|Telephone service has been improved for customers trying to reach their brokers , and specialists -- who I believe should stay , despite [ the urgings ] of some post-crash critics -- have larger capital positions .|urging|pl|NN|[u'encouragement.n.01']||NP|[]|[]|False|[]|['of', 'some']|[]|[',', 'despite']|NN|False|True|False|5|True|PP|of|believe|False|0.676470588235|ZERO|THE
2833|THE|"data/parsed/22/wsj_2223.mrg|2|77"|The `` social dimension '' -- worker concerns -- of the European Community 's plan to open its internal borders in 1992 could set the effort `` off [ the rails '' ] if not done reasonably , says S General Electric senior vice president Frank Doyle .|rail|pl|NN|[u'bar.n.03']||PP|"[""''""]"|[]|False|"[""''""]"|['if', 'not']|[]|['``', 'off']|NN|False|False|False|0|False|||could|False|0.636363636364|ZERO|THE
2867|THE|"data/parsed/22/wsj_2223.mrg|7|18"|CLUBBING A FAN was n't [ the Baltimore Orioles ' ] fault .|Orioles|sg|NNP|[u'oscine.n.01']||NPB|['POS']|['NNP']|False|"[""'""]"|['fault', '.']|['Baltimore']|"[u'be', ""n't""]"|NN|True|False|False|0|False|||was||0.625|ZERO|THE
2871|THE|"data/parsed/22/wsj_2223.mrg|8|40"|So said a federal judge , in a case involving two players for [ the minor league Bluefield , ] Va. , Orioles , a Baltimore farm team .|Bluefield|sg|NNP|||NP|[',']|['JJ', 'NN']|False|[',']|['Va.', ',']|['minor', 'league']|[u'player', 'for']|NN|True|True|False|2|False|NPB|Va.|||0.565217391304|ZERO|THE
2875|THE|"data/parsed/22/wsj_2223.mrg|9|3"|[ The players ] were heckled by a patron during a July 4 , 1988 , game with the Martinsville Phillies .|player|pl|NN|[u'contestant.n.01']||S|[]|[]|True|[]|[u'be', u'heckle']|[]|[]|NN|False|False|False|0|False|||were|True|0.0|ZERO|THE
2879|THE|"data/parsed/22/wsj_2223.mrg|9|46"|The players were heckled by a patron during a July 4 , 1988 , game with [ the Martinsville Phillies . ]|Phillies|sg|NNP|||PP|['.']|['NNP']|False|['.']|[]|['Martinsville']|['game', 'with']|NN|True|False|False|0|False|||were||0.941176470588|ZERO|THE
2890|THE|"data/parsed/22/wsj_2223.mrg|11|45"|After the game -LRB- `` Bluefield lost , 9-8 , stranding three runners in ... [ the ninth , '' ] he noted -RRB- , trouble began .|ninth||JJ|[u'rank.n.02']||PP|"[',', ""''""]"|[]|False|"[',', ""''""]"|['he', u'note']|[]|['in', '...']|JJ|False|False|False|0|False|||stranding||0.652173913043|ZERO|THE
2894|THE|"data/parsed/22/wsj_2223.mrg|12|22"|More taunting in the parking lot , [ the players ] said S , led to a fight .|player|pl|NN|[u'contestant.n.01']||S|[]|[]|True|[]|[u'say', 'S']|[]|['lot', ',']|NN|False|False|False|0|False|||said|True|0.4375|ZERO|THE
2907|THE|"data/parsed/22/wsj_2223.mrg|14|42"|The judge dismissed the fan 's suit against the team , however , ruling [ the Orioles ] innocent of negligent hiring , and not responsible for a fight that was outside the players ' employment .|Orioles|sg|NNP|[u'oscine.n.01']||S|[]|[]|False|[]|['innocent', 'of']|[]|[',', u'rule']|NN|True|False|False|0|False|||innocent||0.411764705882|ZERO|THE
2911|THE|"data/parsed/22/wsj_2223.mrg|14|89"|The judge dismissed the fan 's suit against the team , however , ruling the Orioles innocent of negligent hiring , and not responsible for a fight that was outside [ the players ' ] employment .|player|pl|NN|[u'contestant.n.01']||NPB|['POS']|[]|True|"[""'""]"|['employment', '.']|[]|[u'be', 'outside']|NN|False|False|False|0|False|||was|True|0.909090909091|ZERO|THE
2970|THE|"data/parsed/22/wsj_2223.mrg|26|10"|SPRUCING UP [ THE DIGS : ] About 200 employees of the Maryland Department of Economic and Employment Development for four months painted walls , polished and carpeted floors , bought plants , cleaned windows and blinds , and hung pictures at the agency 's Baltimore office .|DIGS|pl|NN|[u'excavation.n.03']||PP|[':']|[]|False|[':']|['About', '<number>']|[]|['SPRUCING', 'UP']|NN|False|False|False|0|False|||SPRUCING|False|0.0454545454545|ZERO|THE
2982|THE|"data/parsed/22/wsj_2223.mrg|27|4"|[ The 3,000 hours ] of work will save the state $ 55,000 .|hour|pl|NN|[u'work_time.n.01']||NP|[]|['CD']|False|[]|['of', 'work']|['3,000']|[]|NN|False|True|False|2|True|PP|of|will|False|0.0|ZERO|THE
3024|THE|"data/parsed/22/wsj_2223.mrg|33|27"|But they search for ways to limit [ the damage . ]|damage|sg|NN|[u'change.n.01']||VP|['.']|[]|False|['.']|[]|[]|['to', 'limit']|NN|False|False|False|0|False|||to|False|0.875|ZERO|THE
3055|THE|"data/parsed/22/wsj_2223.mrg|39|36"|Federal Express , Dow Chemical , Ford and National City Corp. will buy [ the home ] or let the worker sell to an outside firm , but usually wo n't cover a loss .|home|sg|NN|[u'residence.n.01']||VP|[]|[]|False|[]|['or', 'let']|[]|['will', 'buy']|NN|False|False|False|0|False|||will|False|0.40625|ZERO|THE
3067|THE|"data/parsed/22/wsj_2223.mrg|41|3"|[ THE CHECKOFF : ] The National Academy of Engineering gives two inventors of the semiconductor microchip a $ 350,000 achievement award ... .|CHECKOFF|sg|NNP|||NP|[':']|[]|False|[':']|['National']|[]|[]|NN|True|True|False|19|False|S|The|||0.0|ZERO|THE
3071|THE|"data/parsed/22/wsj_2223.mrg|41|37"|THE CHECKOFF : The National Academy of Engineering gives two inventors of [ the semiconductor microchip ] a $ 350,000 achievement award ... .|microchip|sg|NN|[u'semiconductor_device.n.01']||PP|[]|['NN']|False|[]|['$']|['semiconductor']|[u'inventor', 'of']|NN|False|False|False|0|False|||gives|False|0.6|ZERO|THE
3078|THE|"data/parsed/22/wsj_2224.mrg|1|15"|Yesterday was , in [ the words ] of New York Stock Exchange Chairman John J. Phelan Jr. , just your `` reasonably normal , 400 million-share , up 88-points day . ''|word|pl|NN|[u'speech.n.02']||NP|[]|[]|False|[]|['of', 'New']|[]|[',', 'in']|NN|False|True|False|20|True|PP|of|was|False|0.133333333333|ZERO|THE
3102|THE|"data/parsed/22/wsj_2224.mrg|6|12"|Prices for [ the 416.3 million shares ] that changed hands during the session were carried on the exchange 's trading tape with barely a delay , officials said S .|share|pl|NN|[u'assets.n.01']||NP|[]|['CD', 'CD']|False|[]|['that', u'change']|['<number>', 'million']|['Prices', 'for']|NN|False|True|False|6|False|SBAR|that|were|False|0.0769230769231|ZERO|THE
3112|THE|"data/parsed/22/wsj_2224.mrg|7|20"|While reaching blockbuster proportions yesterday , [ the volume ] was still well within the 600 million-share capacity that the exchange has said it can handle daily since beefing up its computers after the October 1987 crash .|volume|sg|NN|[u'measure.n.02']||S|[]|[]|False|[]|[u'be', 'still']|[]|['yesterday', ',']|NN|False|False|False|0|False|||was|False|0.171428571429|ZERO|THE
3113|THE|"data/parsed/22/wsj_2224.mrg|7|36"|While reaching blockbuster proportions yesterday , the volume was still well within [ the 600 million-share capacity ] that the exchange has said it can handle daily since beefing up its computers after the October 1987 crash .|capacity|sg|NN|[u'capability.n.01']||PP|[]|['CD', 'JJ']|False|[]|['that']|['<number>', 'million-share']|['well', 'within']|NN|False|False|False|0|False|||was|False|0.363636363636|ZERO|THE
3118|THE|"data/parsed/22/wsj_2224.mrg|8|4"|[ The so-called circuit breakers ] devised by the Big Board and the Chicago Mercantile Exchange to quell free falls in stock and futures prices were n't triggered yesterday because the markets were higher for most of the day .|breaker|pl|NN|[u'wave.n.01']||NP|[]|['JJ', 'NN']|False|[]|[u'devise', 'by']|['so-called', 'circuit']|[]|NN|False|True|False|19|False|VP|devised|were|False|0.0|ZERO|THE
3130|THE|"data/parsed/22/wsj_2224.mrg|9|27"|Despite traders ' complaints , Mr. Phelan said [ the links ] with the Chicago futures market worked as planned in Friday 's rout to provide a cooling-off period .|link|pl|NN|[u'golf_course.n.01']||NP|[]|[]|False|[]|['with']|[]|['Phelan', u'say']|NN|False|True|False|5|False|PP|with|worked|False|0.296296296296|ZERO|THE
3136|THE|"data/parsed/22/wsj_2224.mrg|10|13"|Of greater help , [ the Big Board chairman ] said SINV , was the `` natural circuit breaker '' of the weekend , that provided a breathing period that `` brought rationality back to the market .|chairman|sg|NN|[u'presiding_officer.n.01']||S|[]|['NNP', 'NNP']|False|[]|[u'say', 'SINV']|['Big', 'Board']|['help', ',']|NN|False|False|False|0|False|||said|False|0.121212121212|ZERO|THE
3148|THE|"data/parsed/22/wsj_2225.mrg|3|4"|[ The Crest Report , ] which tracks consumer purchases , says customer traffic at chicken restaurants fell 10 % in the second quarter , while the overall fast-food customer count was down 2 % .|Report|sg|NNP|[u'document.n.01']||NP|[',']|['NNP']|False|[',']|['which', u'track']|['Crest']|[]|NN|True|True|False|5|False|SBAR|which|says||0.0|ZERO|THE
3154|THE|"data/parsed/22/wsj_2225.mrg|3|71"|The Crest Report , which tracks consumer purchases , says customer traffic at chicken restaurants fell 10 % in the second quarter , while [ the overall fast-food customer count ] was down 2 % .|count|sg|NN|[u'number.n.02']||S|[]|['JJ', 'NN', 'NN']|False|[]|[u'be', 'down']|['overall', 'fast-food', 'customer']|[',', 'while']|NN|False|False|False|0|False|||was|False|0.8|ZERO|THE
3208|THE|"data/parsed/22/wsj_2225.mrg|12|34"|A Kentucky Fried Chicken spokesman , however , disputed the notion that [ the delivery service ] experienced problems in some markets where testing has been discontinued .|service|sg|NN|[u'work.n.01']||S|[]|['NN']|False|[]|[u'experience', u'problem']|['delivery']|['notion', 'that']|NN|False|False|False|0|False|||experienced|False|0.5|ZERO|THE
3247|THE|"data/parsed/22/wsj_2225.mrg|23|3"|[ The messages ] resemble the Business Traveler , a daily dose of travel tips developed by Mr. Bear and sponsored by travel agencies in several major cities .|message|pl|NN|[u'communication.n.02']||S|[]|[]|False|[]|['resemble']|[]|[]|NN|False|False|False|0|False|||resemble|False|0.0|ZERO|THE
3248|THE|"data/parsed/22/wsj_2225.mrg|23|12"|The messages resemble [ the Business Traveler , ] a daily dose of travel tips developed by Mr. Bear and sponsored by travel agencies in several major cities .|Traveler|sg|NNP|[u'person.n.01']||NP|[',']|['NNP']|False|[',']|['daily']|['Business']|[u'message', 'resemble']|NN|True|True|False|20|False|NP|a|resemble||0.125|ZERO|THE
3268|THE|"data/parsed/22/wsj_2225.mrg|26|50"|A harder sell , says S John Kosar , the firm 's president , would `` detract from [ the profession . '' ]|profession|sg|NN|[u'occupational_group.n.01']||PP|"['.', ""''""]"|[]|False|"['.', ""''""]"|[]|[]|['detract', 'from']|NN|False|False|False|0|False|||would|False|0.947368421053|ZERO|THE
3270|THE|"data/parsed/22/wsj_2225.mrg|27|23"|Hospitals have signed up to use [ the messages ] to promote fundraisers , and Equitable Gas Co. is considering the format to offer energy tips to consumers .|message|pl|NN|[u'communication.n.02']||VP|[]|[]|True|[]|['to', 'promote']|[]|['to', 'use']|NN|False|False|False|0|False|||to|True|0.230769230769|ZERO|THE
3273|THE|"data/parsed/22/wsj_2225.mrg|27|57"|Hospitals have signed up to use the messages to promote fundraisers , and Equitable Gas Co. is considering [ the format ] to offer energy tips to consumers .|format|sg|NN|[u'information.n.01']||NP|[]|[]|False|[]|['to', 'offer']|[]|[u'be', u'consider']|NN|False|True|False|7|False|S|to|is|False|0.692307692308|ZERO|THE
3303|THE|"data/parsed/22/wsj_2225.mrg|34|3"|[ The choices ] will be based on research by the San Diego Environmental Health Coalition and will include products like Murphy 's Oil Soap and other noncorrosive cleaners .|choice|pl|NN|[u'decision_making.n.01']||S|[]|[]|False|[]|['will', 'be']|[]|[]|NN|False|False|False|0|False|||will|False|0.0|ZERO|THE
3305|THE|"data/parsed/22/wsj_2225.mrg|34|27"|The choices will be based on research by [ the San Diego Environmental Health Coalition ] and will include products like Murphy 's Oil Soap and other noncorrosive cleaners .|Coalition|sg|NNP|[u'organization.n.01']||PP|[]|['NNP', 'NNP', 'NNP', 'NNP']|False|[]|['and', 'will']|['San', 'Diego', 'Environmental', 'Health']|['research', 'by']|NN|True|False|False|0|False|||will||0.347826086957|ZERO|THE
3311|THE|"data/parsed/22/wsj_2225.mrg|35|20"|But the chain is quickly realizing [ the pitfalls ] of such endorsements .|pitfall|pl|NN|[u'difficulty.n.02']||NP|[]|[]|False|[]|['of', 'such']|[]|['quickly', u'realize']|NN|False|True|False|4|True|PP|of|is|False|0.545454545455|ZERO|THE
3332|THE|"data/parsed/22/wsj_2225.mrg|39|63"|In fact , Lever Bros. confirms that its Sunlight brand does contain chlorine bleach , even though it is n't listed on [ the label ] for the powder version .|label|sg|NN|[u'description.n.02']||PP|[]|[]|False|[]|['for']|[]|[u'list', 'on']|NN|False|False|False|0|False|||is|False|0.785714285714|ZERO|THE
3384|THE|"data/parsed/22/wsj_2226.mrg|1|38"|Health and Human Services Secretary Louis Sullivan has chosen Antonia Novello to be [ the next surgeon general , ] Bush administration officials said S .|surgeon|sg|NN|[u'doctor.n.01']||VP|['JJ', ',']|['JJ']|False|['general', ',']|['Bush', 'administration']|['next']|['to', 'be']|NN|False|False|False|0|False|||to|False|0.65|ZERO|THE
3412|THE|"data/parsed/22/wsj_2226.mrg|6|4"|[ The newsletter Medicine & Health , ] which first disclosed her selection by Dr. Sullivan , said she is 44 years old and she studied at the University of Puerto Rico School of Medicine .|Health|sg|NNP|[u'wellbeing.n.01']||NP|[',']|['NN', 'NNP', 'CC']|True|[',']|['which', 'first']|['newsletter', 'Medicine', '&']|[]|NN|True|True|False|9|False|SBAR|which|said||0.0|ZERO|THE
3418|THE|"data/parsed/22/wsj_2226.mrg|6|76"|The newsletter Medicine & Health , which first disclosed her selection by Dr. Sullivan , said she is 44 years old and she studied at [ the University of Puerto Rico School ] of Medicine .|School|sg|NNP|[u'educational_institution.n.01']||NP|[]|['NNP', 'IN', 'NNP', 'NNP']|False|[]|['of', 'Medicine']|['University', 'of', 'Puerto', 'Rico']|[u'study', 'at']|NN|True|True|False|3|True|PP|of|studied||0.862068965517|ZERO|THE
3445|THE|"data/parsed/22/wsj_2227.mrg|5|5"|But [ the NAHB ] was created in 1943 out of an organization that made its name fighting a Roosevelt administration proposal to take over all defense housing production .|NAHB|sg|NNP|||S|[]|[]|True|[]|[u'be', u'create']|[]|['But']|NN|True|False|False|0|False|||was||0.037037037037|ZERO|THE
3451|THE|"data/parsed/22/wsj_2227.mrg|6|6"|Through [ the years ] the association has been an active member of the taxpayer 's coalition , pushing for such initiatives as the balanced-budget amendment .|year|pl|NN|[u'time_of_life.n.01']||PP|[]|[]|False|[]|['association']|[]|['Through']|NN|False|False|False|0|False|||has|False|0.0416666666667|ZERO|THE
3475|THE|"data/parsed/22/wsj_2227.mrg|11|44"|But NAHB support for subsidies is not related to the current housing crunch ; over [ the years ] the NAHB has backed a host of public programs .|year|pl|NN|[u'time_of_life.n.01']||PP|[]|[]|True|[]|['NAHB']|[]|[';', 'over']|NN|False|False|False|0|False|||has|True|0.576923076923|ZERO|THE
3476|THE|"data/parsed/22/wsj_2227.mrg|11|49"|But NAHB support for subsidies is not related to the current housing crunch ; over the years [ the NAHB ] has backed a host of public programs .|NAHB|sg|NNP|||S|[]|[]|False|[]|[u'have', u'back']|[]|[u'year']|NN|True|False|False|0|False|||has||0.653846153846|ZERO|THE
3485|THE|"data/parsed/22/wsj_2227.mrg|13|22"|Moreover , explains one HUD official , [ the NAHB ] remains susceptible to internal pressure from members that specialize in subsidized production .|NAHB|sg|NNP|||S|[]|[]|True|[]|[u'remain', 'susceptible']|[]|['official', ',']|NN|True|False|False|0|False|||remains||0.333333333333|ZERO|THE
3520|THE|"data/parsed/22/wsj_2227.mrg|18|28"|More important , housing programs run by HUD , [ the VA , ] and FmHA are awash in red ink .|VA|sg|NNP|[]||NP|[',']|[]|False|[',']|['and', 'FmHA']|[]|['HUD', ',']|NN|True|False|False|0|False|||run||0.5|ZERO|THE
